Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Champ
30.0,Charlotte Bobcats,24.5,7.0,59.0,7,59,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,0.276,0.169,0.483,,0.439,13.9,23.6,0.206,,0.512,12.8,70.9,0.206,,Time Warner Cable Arena,486984.0,14757.0,0
1.0,Oklahoma City Thunder*,26.0,60.0,22.0,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,,0.527,14.4,26.7,0.28,,0.469,13.5,73.4,0.197,,Chesapeake Energy Arena,746323.0,18203.0,0
2.0,Miami Heat*,30.3,66.0,16.0,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,,0.552,13.7,22.2,0.224,,0.487,14.8,73.0,0.2,,AmericanAirlines Arena,819290.0,19983.0,1
3.0,Los Angeles Clippers*,28.8,56.0,26.0,59,23,6.45,-0.02,6.43,110.6,103.6,7.0,91.1,0.286,0.265,0.557,,0.526,13.9,28.8,0.203,,0.492,15.4,73.5,0.229,,STAPLES Center,788293.0,19227.0,0
4.0,San Antonio Spurs*,28.6,58.0,24.0,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,,0.531,14.0,20.5,0.204,,0.48,13.7,74.9,0.179,,AT&T Center,755700.0,18432.0,0
5.0,Denver Nuggets*,26.1,57.0,25.0,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,,0.515,13.6,31.4,0.216,,0.493,14.3,71.8,0.193,,Pepsi Center,730616.0,17820.0,0
6.0,New York Knicks*,30.2,54.0,28.0,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,,0.515,11.7,25.6,0.196,,0.508,14.8,74.7,0.216,,Madison Square Garden (IV),780353.0,19033.0,0
7.0,Memphis Grizzlies*,27.0,56.0,26.0,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,,0.472,13.3,31.0,0.202,,0.475,15.2,74.3,0.209,,FedEx Forum,681613.0,16625.0,0
8.0,Indiana Pacers*,25.7,49.0,32.0,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,,0.479,14.3,30.3,0.219,,0.453,12.9,74.6,0.197,,Bankers Life Fieldhouse,626069.0,15270.0,0
9.0,Houston Rockets*,24.4,45.0,37.0,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,,0.525,14.9,26.4,0.232,,0.502,13.5,75.2,0.196,,Toyota Center,683564.0,16672.0,0
10.0,Brooklyn Nets*,28.6,49.0,33.0,46,36,1.78,-0.53,1.25,108.2,106.2,2.0,88.8,0.299,0.269,0.536,,0.498,14.0,30.9,0.219,,0.503,13.1,73.7,0.174,,Barclays Center,704702.0,17188.0,0
11.0,Los Angeles Lakers*,30.7,45.0,37.0,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,,0.512,13.9,27.0,0.239,,0.496,11.9,74.3,0.163,,STAPLES Center,778877.0,18997.0,0
